regionID,iso3c,country_name,city_name,incomeID,measurement,units,year,source,comments
NAC,USA,United States,Seattle,HIC,population_population_number_of_people,# of people,2015,"Anon. n.d.(d) ""Seattle Solid Waste Plan 2011 Revision."" Chapter 2: Seattle Solid Waste Trends.",
ECS,AZE,Azerbaijan,Baku,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
MEA,EGY,"Egypt, Arab Rep.",Cairo,LMC,population_population_number_of_people,# of people,2014,"World Bank. 2014a. ""Cairo Municipal Solid Waste Management Project."" (PID) Project Information Document Concept Stage.",
ECS,LTU,Lithuania,Kaunas,HIC,population_population_number_of_people,# of people,2017,"City Population. 2018b. ""Kaunas."" https://citypopulation.de/php/lithuania-admin.php?adm2id=024.",
ECS,ESP,Spain,Madrid,HIC,population_population_number_of_people,# of people,2014,"European Commission. 2014k. ""Capital factsheet - Madrid."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2.",
ECS,ESP,Spain,Pamplona,HIC,population_population_number_of_people,# of people,2016,"City Population. 2017g. ""Navarra."" Accessed June 27, 2017. https://citypopulation.de/Spain-Navarra.html.",
ECS,LTU,Lithuania,Vilnius,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,BDI,Burundi,Kayanza,LIC,population_population_number_of_people,# of people,2008,"Burundi. 2010. ""Third General Census of Population and Habitat 2008."" [TROISIEME RECENSEMENT GENERAL DE LA POPULATION ET DE L'HABITAT DE 2008.] Republic of Burundi. [République du Burundi.] http://www.paris21.org/sites/default/files/BURUNDI-population-2008.PDF.",
SSF,BDI,Burundi,Ngozi,LIC,population_population_number_of_people,# of people,2012,"Mbuligwe, S. E. 2013. ""Solid Waste Management Assessment within Urban Settings in Burundi, Rwanda, and Tanzania."" United Nations Human Settlements Programme (UN-Habitat).",
SSF,BDI,Burundi,Muyinga,LIC,population_population_number_of_people,# of people,2008,"Burundi. 2010. ""Third General Census of Population and Habitat 2008."" [TROISIEME RECENSEMENT GENERAL DE LA POPULATION ET DE L'HABITAT DE 2008.] Republic of Burundi. [République du Burundi.] http://www.paris21.org/sites/default/files/BURUNDI-population-2008.PDF.",
SSF,BDI,Burundi,Bujumbura,LIC,population_population_number_of_people,# of people,2005,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
ECS,BEL,Belgium,Liege,HIC,population_population_number_of_people,# of people,2014,"Intradel (Association intermunicipal treatment waste Liege). 2014. ""Annual Report 2014."" [Intradel (Association Intercommunale de Traitement des Déchets Liégeois). 2014.""RAPPORT ANNUEL 2014.""]",
ECS,BEL,Belgium,Brussels,HIC,population_population_number_of_people,# of people,2013,"European Commission. 2014d. ""Capital factsheet - Brussels."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2.",
LCN,BRA,Brazil,Sao Paulo,UMC,population_population_number_of_people,# of people,2014,"CCAC (Climate and Clean Air Coalition). n.d.(g) ""Solid Waste Management City Profile: São Paulo, Brazil.""  Municipal Solid Waste Initiative.",
SSF,ETH,Ethiopia,Bati,LIC,population_population_number_of_people,# of people,2015,"WaterAid. 2015b. ""Solid Waste Generation Rate and Characterization Study for Bati Town."" Getaneh Gebre Consultancy Service. November.",
SSF,BEN,Benin,Porto Novo,LIC,population_population_number_of_people,# of people,2000,"Achankeng, Eric. 2003. ""Globalization, Urbanization and Municipal Solid Waste Management in Africa."" Paper presented at African Studies Association of Australasia and the Pacific, ""African on a Global Stage,"" Adelaide, Australia.",
SSF,ETH,Ethiopia,Addis Ababa,LIC,population_population_number_of_people,# of people,2010,"Colby College Environmental Policy Group. 2012. ""Environmental Policy Update 2012: Development Strategies and Environmental Policy in East Africa."" Waterville, Maine: Colby College Environmental Studies Program.",
SSF,BEN,Benin,Cotonou,LIC,population_population_number_of_people,# of people,2000,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
ECS,MDA,Moldova,Soldanesti,LMC,population_population_number_of_people,# of people,2016,"National Bureau of Statistics, Statistical Databank. n.d. ""Population and demographic processes."" http://statbank.statistica.md/pxweb/pxweb/en/20%20Populatia%20si%20procesele%20demografice/?rxid=ee2e0d8f-d6a3-4787-83a8-c2e61c9177b3.",
ECS,XKX,Kosovo,Pristina,LMC,population_population_number_of_people,# of people,2017,"World Population Review. 2018c. ""Kosovo Population."" http://worldpopulationreview.com/countries/kosovo-population/.",
SSF,BFA,Burkina Faso,Ouagadougou,LIC,population_population_number_of_people,# of people,2000,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,BFA,Burkina Faso,Bobo Dioulasso,LIC,population_population_number_of_people,# of people,2000,"Karak, Tanmoy, R. M. Bhagat, and Pradip Bhattacharyya. 2012. ""Municipal Solid Waste Generation, Composition, and Management: The World Scenario."" Critical Reviews in Environmental Science and Technology, 42:1509-1630. Taylor and Francis Group, LLC. ISSN: 1064-3389 print / 1547-6537 online.",
SAS,IND,India,Amritsar,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
SAS,BGD,Bangladesh,Chittagong,LMC,population_population_number_of_people,# of people,2011,"Bangladesh Bureau of Statistics. 2014. ""Population and Housing Census- 2011. National Report. Volume 2: Union Statistics."" Statistics and Informatics Division, Ministry of Planning, Bangladesh Bureau of Statistics. March",
LCN,GTM,Guatemala,Guatemala City,LMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,ETH,Ethiopia,Halaba Kulito,LIC,population_population_number_of_people,# of people,,,
SAS,BGD,Bangladesh,Patuakhali,LMC,population_population_number_of_people,# of people,2011,"Bangladesh Bureau of Statistics. 2014. ""Population and Housing Census- 2011. National Report. Volume 2: Union Statistics."" Statistics and Informatics Division, Ministry of Planning, Bangladesh Bureau of Statistics. March",
SAS,BGD,Bangladesh,Rajshahi,LMC,population_population_number_of_people,# of people,2011,"Bangladesh Bureau of Statistics. 2014. ""Population and Housing Census- 2011. National Report. Volume 2: Union Statistics."" Statistics and Informatics Division, Ministry of Planning, Bangladesh Bureau of Statistics. March",
SAS,BGD,Bangladesh,Dhaka,LMC,population_population_number_of_people,# of people,2005,"Dhaka City Corporation. 2005. ""The Study on the Solid Waste Management in Dhaka City."" Final Report: Volume 1. JICA (Japan International Cooperation Agency). Pacific Consultants International. Yachiyo Engineering Co., Ltd. March.",
SSF,ETH,Ethiopia,Dire Dawa,LIC,population_population_number_of_people,# of people,2015,"RWA (Resources and Waste Advisory Group). 2015. ""Ethiopian Urban Solid Waste Management Sector- Dire Dawa City Assessment."" GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). April.",
SSF,ETH,Ethiopia,Maichew,LIC,population_population_number_of_people,# of people,2015,"WaterAid. 2015g. ""Solid Waste Generation Rate and Characterization Study for Maichew Town."" Getaneh Gebre Consultancy Service. Addis Ababa, November.",
SAS,BGD,Bangladesh,Rangpur,LMC,population_population_number_of_people,# of people,2011,"Bangladesh Bureau of Statistics. 2014. ""Population and Housing Census- 2011. National Report. Volume 2: Union Statistics."" Statistics and Informatics Division, Ministry of Planning, Bangladesh Bureau of Statistics. March",
SSF,ETH,Ethiopia,Bule Hora,LIC,population_population_number_of_people,# of people,2015,"WaterAid. 2015c. ""Solid Waste Generation Rate and Characterization Study for Bule Hora Town."" Getaneh Gebre Consultancy Service. Addis Ababa, November.",
ECS,BGR,Bulgaria,Burgas,UMC,population_population_number_of_people,# of people,2016,"City Population. 2017c. ""Burgas."" http://www.citypopulation.de/php/bulgaria-burgas.php.",
ECS,BGR,Bulgaria,Ruse,UMC,population_population_number_of_people,# of people,2016,"City Population. 2017b. ""Bulgaria: Major Cities."" http://www.citypopulation.de/Bulgaria-Cities.html?cityid=2747.",
MEA,BHR,Bahrain,Manama,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
ECS,BIH,Bosnia and Herzegovina,Banja Luka,UMC,population_population_number_of_people,# of people,2013,"City Population. 2017a. ""Banja Luka."" http://www.citypopulation.de/php/bosnia-admin.php?adm2id=20010.",
SAS,IND,India,Navi Mumbai,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
SAS,IND,India,Imphal,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
ECS,BIH,Bosnia and Herzegovina,Sarajevo,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
ECS,BLR,Belarus,Grodno,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,MLI,Mali,Sikasso,LIC,population_population_number_of_people,# of people,2009,"World Bank. 2014b. ""Results-Based Financing for Municipal Solid Waste."" Urban Development Series Knowledge Papers, No. 20. Global Urban and DRM Unit, World Bank. July.",
ECS,BLR,Belarus,Minsk,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,IND,India,Bengaluru,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
LCN,BLZ,Belize,Belize City,UMC,population_population_number_of_people,# of people,2010,"IDB (Inter-American Development Bank). 2011. ""Waste Generation and Composition Study for the Western Corridor, Belize, C.A., 2056/OC – BL."" Belize Solid Waste Management Authority. May.",
SSF,GAB,Gabon,Libreville,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
ECS,GBR,United Kingdom,Bristol,HIC,population_population_number_of_people,# of people,2016,"Bristol City Council. 2017. ""The Population of Bristol."" https://www.bristol.gov.uk/statistics-census-information/the-population-of-bristol.",
LCN,BLZ,Belize,San Pedro,UMC,population_population_number_of_people,# of people,2014,"IDB (Inter-American Development Bank). 2011. ""Waste Generation and Composition Study for the Western Corridor, Belize, C.A., 2056/OC – BL."" Belize Solid Waste Management Authority. May.",
LCN,BOL,Bolivia,La Paz,LMC,population_population_number_of_people,# of people,2010,"Bolivia MMAyA/VAPSB/DGGIRS. 2011. ""Diagnosis of Solid Waste Management in the Department of La Paz"" [""Diagnóstico de la Gestión de Residuos Sólidos en el Departamento de La Paz""]. MMAyA (Ministry of Environment and Water [Ministerio de Medio Ambiente y Agua])/ VAPSB (Deputy Minister of Drinking Water and Basic Sanitation [Viceministro de Agua Potable y Saneamiento Básico])/ DGGIRS (General Director of Integral Management of Solid Residues [Director General de Gestión Integral de Residuos Sólidos]).",
MEA,SAU,Saudi Arabia,Riyadh,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
LCN,BRA,Brazil,"Distrito Federal, Brasilia",UMC,population_population_number_of_people,# of people,2016,"Brazil SLU (Urban Cleaning Service). 2017. ""Preparing to close the dump; Report of activities of the SLU; First half of 2017."" [SLU (Servicio de Limpieza Urbana). 2017. ""Preparando para fechar o lixão; Relatório de atividades do SLU; Primeiro semestre de 2017.""]",
LCN,BRA,Brazil,Rio De Janeiro,UMC,population_population_number_of_people,# of people,2014,"City of Rio de Janeiro City Council. 2015. ""Municipal Plan of Integrated Management of Solid Waste - PMGIRS of the City of Rio de Janeiro."" [Prefeitura da Cidade do Rio de Janeiro. 2015. ""Plano Municipal de Gestão Integrada de Resíduos Sólidos - PMGIRS da Cidade do Rio de Janeiro.""] CITY OF RIO DE JANEIRO CITY COUNCIL. December.",
SAS,IND,India,Rajkot,LMC,population_population_number_of_people,# of people,2016,"Thakur, Ritu. 2017b. Manager (Sustainability), ICLEI South Asia. Personal communication with Rajkot Municipal Corporation.",
SAS,IND,India,Leh,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
SSF,GHA,Ghana,Accra,LMC,population_population_number_of_people,# of people,2015,"Miezah, Kodwo, Kwasi Obiri-Danso, Zsófia Kádár, Bernard Fei-Baffoe, and Moses Y. Mensah. 2015. ""Municipal solid waste characterization and quantification as a measure towards effective waste management in Ghana."" Waste Management 46 (2015) 15–27.",
EAS,MNP,Northern Mariana Islands,Saipan,HIC,population_population_number_of_people,# of people,2014,"UN DESA (United Nations Department of Economic and Social Affairs). 2014a. ""Population of Capital Cities in 2014 (thousands)."" World Urbanization Prospects: The 2014 Revision, CD-ROM Edition. Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,GIN,Guinea,Conakry,LIC,population_population_number_of_people,# of people,1995,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,BTN,Bhutan,Phuentsholing ,LMC,population_population_number_of_people,# of people,2014,"ECOPARADIGM (Paradigm Environmental Strategies (P) Ltd). 2015. ""Action Plan toward Zero Waste Management: Pheuntsholing Thromde, Bhutan.""",
SSF,GMB,"Gambia, The",Banjul,LIC,population_population_number_of_people,# of people,2000,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,BTN,Bhutan,Thimphu,LMC,population_population_number_of_people,# of people,2016,"Bhutan, Water and Sanitation Division. 2016. ""Report on the Existing Drinking Water and Sanitaion Scenario in Thimphu City."" Water and Sanitation Division, Department of Engineering Services, Ministry of Works and Human Settlement, Government of Bhutan. Thimphu, March.",
ECS,GRC,Greece,Thessaloniki,HIC,population_population_number_of_people,# of people,2017,"World Population Review. 2018d. ""Population of Cities in Greece."" Accessed May 15, 2017. http://worldpopulationreview.com/countries/greece-population/cities/.",
SSF,BWA,Botswana,Gaborone,UMC,population_population_number_of_people,# of people,2011,"Miezah, Kodwo, Kwasi Obiri-Danso, Zsófia Kádár, Bernard Fei-Baffoe, and Moses Y. Mensah. 2015. ""Municipal solid waste characterization and quantification as a measure towards effective waste management in Ghana."" Waste Management 46 (2015) 15–27.",
MEA,IRN,"Iran, Islamic Rep.",Tehran,UMC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
NAC,CAN,Canada,Ottawa,HIC,population_population_number_of_people,# of people,2016,"City of Ottawa. 2018a. ""2016 Census."" https://ottawa.ca/en/city-hall/get-know-your-city/statistics-and-economic-profile/statistics/2016-census.",
SSF,ETH,Ethiopia,Adola Woyu,LIC,population_population_number_of_people,# of people,2015,"WaterAid. 2015a. ""Solid Waste Generation Rate and Characterization Study for Adola Woyu Town."" Getaneh Gebre Consultancy Service. Addis Ababa, November.",
NAC,CAN,Canada,Vancouver,HIC,population_population_number_of_people,# of people,2014,"Metro Vancouver. 2016. ""2015 Waste Composition Monitoring Program."" Tetra Tech EBA Inc. January. http://www.metrovancouver.org/services/solid-waste/SolidWastePublications/2015_Waste_Composition_Report.pdf ",
